distance,consume,speed,temp_inside,temp_outside,gas_type,ac,rain,sun,temp_diff,trip_consume,trip_cost
21.6,5.3,44,21.5,9,E10,0,1,0,12.5,1.1448,1.579824
39.4,5.3,60,21.5,9,E10,0,1,0,12.5,2.0882,2.881716
5.1,8.1,39,21.5,4,E10,0,0,0,17.5,0.41309999999999997,0.5700779999999999
26.6,4.8,38,21.5,7,E10,0,0,0,14.5,1.2768000000000002,1.761984
53.2,5.1,71,21.5,2,E10,0,0,0,19.5,2.7132,3.7442159999999998
18.9,4.4,53,21.5,2,E10,0,0,0,19.5,0.8316,1.147608
43.5,5.0,80,21.5,3,E10,0,0,0,18.5,2.1750000000000003,3.0015
6.1,6.3,26,21.5,5,E10,0,0,0,16.5,0.3843,0.530334
16.4,4.8,49,21.5,5,E10,0,0,0,16.5,0.7871999999999999,1.0863359999999997
12.3,6.1,40,21.5,6,E10,0,0,0,15.5,0.7503000000000001,1.035414
21.1,4.6,36,21.5,8,E10,0,0,0,13.5,0.9706,1.3394279999999998
21.1,4.8,43,21.5,7,E10,0,0,0,14.5,1.0128000000000001,1.397664
22.7,4.7,55,21.5,6,E10,0,0,0,15.5,1.0669,1.472322
44.4,4.8,38,21.5,8,E10,0,0,0,13.5,2.1311999999999998,2.9410559999999992
35.8,4.4,51,21.5,6,E10,0,0,0,15.5,1.5752,2.1737759999999997
11.8,4.9,44,21.5,0,E10,0,0,0,21.5,0.5782,0.797916
26.2,4.9,42,21.5,6,E10,0,0,0,15.5,1.2838,1.771644
40.6,4.4,44,21.0,3,E10,0,0,0,18.0,1.7864000000000002,2.4652320000000003
12.4,5.3,38,21.0,-5,E10,0,0,0,26.0,0.6572,0.906936
14.1,5.3,47,21.0,-3,E10,0,0,0,24.0,0.7473,1.0312739999999998
58.7,4.8,75,21.0,0,E10,0,0,0,21.0,2.8176,3.8882879999999997
16.2,5.2,29,21.0,0,E10,0,0,0,21.0,0.8424,1.162512
12.3,4.9,50,22.5,0,E10,0,0,0,22.5,0.6027,0.831726
12.3,7.1,52,22.5,0,E10,1,1,0,22.5,0.8733,1.2051539999999998
12.4,5.2,51,22.5,1,E10,0,0,0,21.5,0.6448,0.889824
31.8,4.7,59,22.5,3,E10,0,0,0,19.5,1.4946,2.0625479999999996
12.3,5.1,55,22.5,8,E10,0,0,0,14.5,0.6273,0.8656739999999999
51.6,5.0,73,22.5,12,E10,0,0,0,10.5,2.58,3.5604
38.6,4.6,44,22.5,10,E10,0,0,0,12.5,1.7756,2.450328
12.3,4.8,41,22.5,7,E10,0,0,0,15.5,0.5904,0.814752
81.2,4.4,69,22.0,13,E10,0,0,0,9.0,3.5728000000000004,4.930464000000001
130.3,4.6,85,22.0,12,E10,0,0,0,10.0,5.9938,8.271443999999999
67.2,4.3,67,22.0,18,E10,0,0,0,4.0,2.8895999999999997,3.987647999999999
43.7,4.7,44,22.0,9,SP98,0,1,0,13.0,2.0539,2.998694
12.1,4.2,43,22.0,4,SP98,0,0,0,18.0,0.5082,0.741972
56.1,4.8,82,22.0,13,SP98,0,0,0,9.0,2.6928,3.931488
39.0,4.1,61,22.0,16,SP98,0,0,0,6.0,1.5989999999999998,2.3345399999999996
11.8,4.5,41,21.5,13,SP98,0,0,0,8.5,0.531,0.7752600000000001
38.5,4.8,63,21.5,14,SP98,0,0,0,7.5,1.848,2.69808
28.2,4.6,54,21.5,14,SP98,0,0,0,7.5,1.2972,1.8939119999999998
2.9,7.4,24,21.5,14,SP98,0,0,0,7.5,0.2146,0.31331600000000004
6.1,5.6,24,21.5,13,SP98,0,0,0,8.5,0.34159999999999996,0.4987359999999999
19.6,4.9,43,21.5,13,SP98,0,0,0,8.5,0.9604000000000001,1.402184
22.2,3.8,42,21.5,15,SP98,0,0,0,6.5,0.8435999999999999,1.2316559999999999
13.6,4.5,44,19.0,18,SP98,0,0,0,1.0,0.612,0.89352
12.6,4.1,33,21.5,17,SP98,0,0,0,4.5,0.5166,0.7542359999999999
8.7,5.3,28,22.5,12,SP98,1,1,0,10.5,0.46109999999999995,0.673206
7.9,4.7,31,22.5,12,SP98,1,0,0,10.5,0.3713,0.542098
2.4,9.0,26,20.0,10,SP98,0,0,0,10.0,0.216,0.31536
4.9,6.3,26,20.0,10,SP98,0,0,0,10.0,0.30870000000000003,0.45070200000000005
18.1,3.6,36,20.0,19,SP98,0,0,0,1.0,0.6516000000000002,0.9513360000000003
25.9,3.7,39,20.0,21,SP98,0,0,0,-1.0,0.9583,1.399118
1.3,11.5,21,20.0,10,SP98,0,0,0,10.0,0.14950000000000002,0.21827000000000002
14.1,5.0,22,20.0,12,SP98,0,0,0,8.0,0.7050000000000001,1.0293
13.4,5.5,31,20.0,9,SP98,0,0,0,11.0,0.737,1.07602
6.4,4.7,33,20.0,8,SP98,0,0,0,12.0,0.3008,0.439168
12.9,4.5,42,20.0,13,SP98,0,0,0,7.0,0.5805,0.84753
12.1,4.4,33,22.5,5,SP98,0,0,0,17.5,0.5324,0.777304
15.7,4.1,32,22.5,13,SP98,0,0,0,9.5,0.6436999999999999,0.9398019999999999
16.2,4.4,26,22.5,11,SP98,0,0,0,11.5,0.7128,1.040688
12.8,4.6,22,22.5,12,SP98,0,0,0,10.5,0.5888,0.859648
19.0,4.4,58,22.5,17,SP98,0,0,1,5.5,0.8360000000000001,1.22056
29.0,4.0,27,22.5,12,SP98,0,0,0,10.5,1.16,1.6935999999999998
12.1,5.0,32,22.5,9,SP98,0,0,0,13.5,0.605,0.8833
12.3,5.2,55,22.5,10,SP98,0,0,0,12.5,0.6396000000000001,0.9338160000000001
24.8,4.0,56,22.5,11,SP98,0,0,0,11.5,0.9920000000000001,1.44832
12.9,5.1,34,22.5,8,SP98,0,1,0,14.5,0.6578999999999999,0.9605339999999999
11.8,4.5,39,22.5,3,SP98,0,0,0,19.5,0.531,0.7752600000000001
31.4,4.6,62,22.5,11,SP98,0,0,0,11.5,1.4444,2.108824
19.0,5.1,53,22.5,4,SP98,0,1,0,18.5,0.969,1.4147399999999999
13.0,5.7,38,22.5,3,SP98,1,1,0,19.5,0.741,1.08186
11.8,4.8,42,22.5,2,SP98,0,0,0,20.5,0.5664,0.826944
13.0,6.2,32,22.5,4,SP98,0,0,0,18.5,0.806,1.17676
11.8,5.0,43,22.5,1,SP98,0,0,0,21.5,0.5900000000000001,0.8614
27.1,5.0,69,22.5,8,SP98,0,0,0,14.5,1.3550000000000002,1.9783000000000002
5.2,4.6,38,22.5,8,SP98,0,0,0,14.5,0.2392,0.349232
19.0,4.5,29,22.5,10,E10,0,0,0,12.5,0.855,1.1799
12.4,4.8,38,22.5,1,E10,0,0,0,21.5,0.5952000000000001,0.821376
25.2,5.0,55,22.5,9,E10,0,0,0,13.5,1.26,1.7388
14.3,4.8,36,22.5,10,E10,0,0,0,12.5,0.6864,0.947232
11.8,4.6,40,22.5,2,E10,0,0,0,20.5,0.5428000000000001,0.7490640000000001
16.9,4.5,48,22.5,9,E10,0,0,1,13.5,0.7605,1.0494899999999998
12.4,4.6,55,22.5,11,E10,0,0,1,11.5,0.5704,0.787152
17.4,4.4,36,22.5,12,E10,0,0,1,10.5,0.7656000000000001,1.056528
9.2,5.7,33,22.5,8,E10,0,1,0,14.5,0.5244,0.7236719999999999
12.3,5.8,54,22.5,10,E10,0,1,0,12.5,0.7134,0.9844919999999999
13.0,5.9,32,22.5,10,E10,0,0,0,12.5,0.767,1.05846
11.8,6.1,16,22.5,6,E10,0,1,0,16.5,0.7198,0.9933239999999999
13.0,5.7,37,22.5,11,E10,0,1,0,11.5,0.741,1.0225799999999998
12.3,5.0,42,22.5,10,E10,0,0,0,12.5,0.6150000000000001,0.8487000000000001
12.3,5.2,57,22.5,15,E10,0,0,1,7.5,0.6396000000000001,0.882648
12.5,4.3,57,22.5,16,E10,0,0,1,6.5,0.5375,0.7417499999999999
31.5,4.1,30,22.5,16,E10,0,0,1,6.5,1.2914999999999999,1.7822699999999996
11.8,4.4,42,22.5,8,E10,0,0,0,14.5,0.5192000000000001,0.7164960000000001
24.9,4.5,53,22.5,14,E10,0,0,0,8.5,1.1204999999999998,1.5462899999999997
17.0,3.9,46,22.5,14,E10,0,0,1,8.5,0.663,0.91494
2.0,8.1,20,22.5,14,E10,0,0,0,8.5,0.162,0.22355999999999998
11.8,4.4,33,22.5,8,E10,0,0,0,14.5,0.5192000000000001,0.7164960000000001
7.4,5.0,31,22.5,12,E10,0,0,0,10.5,0.37000000000000005,0.5106
12.4,4.7,55,22.5,14,E10,0,0,1,8.5,0.5828,0.8042639999999999
2.0,6.0,22,22.5,14,E10,0,0,0,8.5,0.12,0.16559999999999997
14.0,5.0,41,22.5,8,E10,0,0,0,14.5,0.7000000000000001,0.966
25.7,5.0,45,22.5,7,E10,0,0,0,15.5,1.2850000000000001,1.7733
24.5,3.9,50,21.5,15,E10,0,0,1,6.5,0.9555,1.31859
11.8,4.5,28,22.5,12,E10,0,0,0,10.5,0.531,0.73278
4.1,5.4,24,22.5,13,E10,0,0,0,9.5,0.2214,0.30553199999999997
4.2,5.6,29,22.0,17,E10,0,0,0,5.0,0.2352,0.324576
4.2,3.9,29,22.0,18,E10,0,0,1,4.0,0.1638,0.226044
16.0,4.0,40,22.0,10,E10,0,0,0,12.0,0.64,0.8832
22.9,4.0,29,21.5,21,E10,0,0,0,0.5,0.9159999999999999,1.2640799999999999
16.0,3.8,42,21.5,8,E10,0,0,0,13.5,0.608,0.8390399999999999
15.4,4.5,50,22.0,14,E10,0,0,0,8.0,0.693,0.9563399999999999
